DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2024-12-13	39528825	Western D	2024-11-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/39528825	Proteogenomic analysis of human cerebrospinal fluid identifies neurologically relevant regulation and implicates causal proteins for Alzheimer's disease.	Low affinity immunoglobulin gamma Fc region receptor III-A levels	2,721 European ancestry individuals	NA	1q23.3	1	161544752		FCGR3A			ENSG00000203747			rs396991-C	rs396991	0	396991	missense_variant	0	0.357695	3E-943	942.5228787452803		1.3404	[1.32-1.37] unit increase	Affymetrix, Illumina [7327830] (imputed)	N	protein measurement	http://www.ebi.ac.uk/efo/EFO_0004747	GCST90422635	Genome-wide genotyping array, Genome-wide sequencing [NA]
2024-12-13	39528825	Western D	2024-11-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/39528825	Proteogenomic analysis of human cerebrospinal fluid identifies neurologically relevant regulation and implicates causal proteins for Alzheimer's disease.	Glutathione S-transferase Mu 1 (analyte X15395.15) levels	2,721 European ancestry individuals	NA	1p13.3	1	109718120		GSTM5			ENSG00000134201			rs11807-C	rs11807	0	11807	3_prime_UTR_variant	0	0.183364	5E-74	73.30102999566398		0.6157	[0.55-0.68] unit increase	Affymetrix, Illumina [7327828] (imputed)	N	protein measurement	http://www.ebi.ac.uk/efo/EFO_0004747	GCST90422640	Genome-wide genotyping array, Genome-wide sequencing [NA]
2024-12-13	39528825	Western D	2024-11-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/39528825	Proteogenomic analysis of human cerebrospinal fluid identifies neurologically relevant regulation and implicates causal proteins for Alzheimer's disease.	FAD-linked sulfhydryl oxidase ALR levels	2,721 European ancestry individuals	NA	16p13.3	16	1986630		GFER			ENSG00000127554			rs17135743-G	rs17135743	0	17135743	3_prime_UTR_variant	0	0.171258	9E-20	19.045757490560675		0.3131	[0.25-0.38] unit increase	Affymetrix, Illumina [7327828] (imputed)	N	protein measurement	http://www.ebi.ac.uk/efo/EFO_0004747	GCST90422641	Genome-wide genotyping array, Genome-wide sequencing [NA]
2024-12-13	39528825	Western D	2024-11-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/39528825	Proteogenomic analysis of human cerebrospinal fluid identifies neurologically relevant regulation and implicates causal proteins for Alzheimer's disease.	DNA-binding protein inhibitor ID-1 (analyte X15402.2) levels	2,721 European ancestry individuals	NA	19q13.32	19	44919689		APOC1 - APOC1P1	ENSG00000130208	ENSG00000214855		340	7287	rs4420638-G	rs4420638	0	4420638	intergenic_variant	1	0.257751	1E-15	15.0		0.2534	[0.19-0.31] unit increase	Affymetrix, Illumina [7327830] (imputed)	N	protein measurement	http://www.ebi.ac.uk/efo/EFO_0004747	GCST90422642	Genome-wide genotyping array, Genome-wide sequencing [NA]
2024-12-13	39528825	Western D	2024-11-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/39528825	Proteogenomic analysis of human cerebrospinal fluid identifies neurologically relevant regulation and implicates causal proteins for Alzheimer's disease.	Lysyl oxidase homolog 3 levels	2,721 European ancestry individuals	NA	13q32.1	13	96363194		HS6ST3			ENSG00000185352			rs2892814-T	rs2892814	0	2892814	intron_variant	0	0.117362	2E-12	11.698970004336019		0.2849	[0.21-0.36] unit decrease	Affymetrix, Illumina [7327826] (imputed)	N	protein measurement	http://www.ebi.ac.uk/efo/EFO_0004747	GCST90422655	Genome-wide genotyping array, Genome-wide sequencing [NA]
2024-12-13	39528825	Western D	2024-11-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/39528825	Proteogenomic analysis of human cerebrospinal fluid identifies neurologically relevant regulation and implicates causal proteins for Alzheimer's disease.	Otoraplin levels	2,721 European ancestry individuals	NA	16q21	16	57996497		ZNF319			ENSG00000166188			rs3743555-T	rs3743555	0	3743555	3_prime_UTR_variant	0	0.313759	3E-11	10.522878745280337		0.1918	[0.14-0.25] unit decrease	Affymetrix, Illumina [7327826] (imputed)	N	protein measurement	http://www.ebi.ac.uk/efo/EFO_0004747	GCST90422658	Genome-wide genotyping array, Genome-wide sequencing [NA]
2024-12-13	39528825	Western D	2024-11-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/39528825	Proteogenomic analysis of human cerebrospinal fluid identifies neurologically relevant regulation and implicates causal proteins for Alzheimer's disease.	Otoraplin levels	2,721 European ancestry individuals	NA	19q13.2	19	40754926		SNRPA			ENSG00000077312			rs2607416-T	rs2607416	0	2607416	intron_variant	0	0.0665146	1E-25	25.0		0.5346	[0.44-0.63] unit increase	Affymetrix, Illumina [7327826] (imputed)	N	protein measurement	http://www.ebi.ac.uk/efo/EFO_0004747	GCST90422658	Genome-wide genotyping array, Genome-wide sequencing [NA]
2024-12-13	39528825	Western D	2024-11-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/39528825	Proteogenomic analysis of human cerebrospinal fluid identifies neurologically relevant regulation and implicates causal proteins for Alzheimer's disease.	Prepronociceptin levels	2,721 European ancestry individuals	NA	19q13.32	19	44912921		APOE - APOC1	ENSG00000130203	ENSG00000130208		3528	1326	rs483082-T	rs483082	0	483082	regulatory_region_variant	1	0.29649	4E-22	21.397940008672037		0.2815	[0.22-0.34] unit decrease	Affymetrix, Illumina [7327827] (imputed)	N	protein measurement	http://www.ebi.ac.uk/efo/EFO_0004747	GCST90422660	Genome-wide genotyping array, Genome-wide sequencing [NA]
2024-12-13	39528825	Western D	2024-11-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/39528825	Proteogenomic analysis of human cerebrospinal fluid identifies neurologically relevant regulation and implicates causal proteins for Alzheimer's disease.	Ganglioside GM2 activator levels	2,721 European ancestry individuals	NA	5q33.1	5	151259878		GM2A			ENSG00000196743			rs153478-A	rs153478	0	153478	missense_variant	0	0.337616	5E-34	33.30102999566398		0.3383	[0.29-0.39] unit decrease	Affymetrix, Illumina [7327826] (imputed)	N	protein measurement	http://www.ebi.ac.uk/efo/EFO_0004747	GCST90422666	Genome-wide genotyping array, Genome-wide sequencing [NA]
2024-12-13	39528825	Western D	2024-11-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/39528825	Proteogenomic analysis of human cerebrospinal fluid identifies neurologically relevant regulation and implicates causal proteins for Alzheimer's disease.	Neuregulin-1, sensory and motor neuron-derived factor isoform levels	2,721 European ancestry individuals	NA	6p21.33	6	31946402		CFB			ENSG00000243649			rs12614-T	rs12614	0	12614	missense_variant	0	0.103955	1E-107	107.0		0.8181	[0.75-0.89] unit increase	Affymetrix, Illumina [7327832] (imputed)	N	protein measurement	http://www.ebi.ac.uk/efo/EFO_0004747	GCST90422668	Genome-wide genotyping array, Genome-wide sequencing [NA]
2024-12-13	39528825	Western D	2024-11-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/39528825	Proteogenomic analysis of human cerebrospinal fluid identifies neurologically relevant regulation and implicates causal proteins for Alzheimer's disease.	T-cell immunoglobulin and mucin domain-containing protein 4 levels	2,721 European ancestry individuals	NA	5q33.3	5	156963286		TIMD4 - HAVCR1	ENSG00000145850	ENSG00000113249		60	63456	rs6882076-T	rs6882076	0	6882076	intergenic_variant	1	0.361359	1E-363	363.0		0.9617	[0.92-1] unit increase	Affymetrix, Illumina [7327828] (imputed)	N	protein measurement	http://www.ebi.ac.uk/efo/EFO_0004747	GCST90422671	Genome-wide genotyping array, Genome-wide sequencing [NA]
